Institution Name Primary,Identification Number Primary,Type,Event Date,Event Type,Institution Name (Secondary),Identification Number (Secondary)
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19451001,Acquire By Merger,Fillmore-Leroy Savings and Loan Association,173
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,18891023,NYS Chartered,Aetna Permanent Savings & Loan Association,
"African Banking Corporation, Ltd.",9000018,Former Foreign Agency,19200000,Closed,,
"African Banking Corporation, Ltd.",9000018,Former Foreign Agency,19120000,Licensed,"African Banking Corporation, Ltd.",
Ageco Credit Union of Ithaca,8300292,Former Credit Union,19410000,Liquidated,,
Ageco Credit Union of Ithaca,8300292,Former Credit Union,19330000,Name Change To,Ageco Credit Union of New York,
Ageco Credit Union of Ithaca,8300292,Former Credit Union,19310827,NYS Chartered,Ageco Credit Union of Ithaca,
Ageco Credit Union of New York,8300292,Former Credit Union,19410000,Liquidated,,
Ageco Credit Union of New York,8300292,Former Credit Union,19330000,Name Change To,Ageco Credit Union of New York,
Ageco Credit Union of New York,8300292,Former Credit Union,19310827,NYS Chartered,Ageco Credit Union of Ithaca,
Agricultural Bank of China Limited,570373,Foreign Branches,20120615,NYS Chartered,Agricultural Bank of China Limited,
"Agricultural Bank of China, The",501010,Foreign Representative Offices,20140331,Closed,,
"Agricultural Bank of China, The",501010,Foreign Representative Offices,19970903,Licensed,"Agricultural Bank of China, The",
"AIG Finance Holdings, Inc.",701002,Investment Company (Article XII),20110623,Closed,,
"AIG Finance Holdings, Inc.",701002,Investment Company (Article XII),19961023,NYS Chartered,"AIG Finance Holdings, Inc.",
Akron Safe Deposit Company,1701001,Safe Deposit Company,19261024,Licensed,Akron Safe Deposit Company,
Akron Savings & Loan Association,8200001,Former Savings and Loan,19780306,Liquidated,,
Akron Savings & Loan Association,8200001,Former Savings and Loan,19190000,NYS Chartered,Akron Savings & Loan Association,
Albank Commercial,5000034,Bank,19990528,Merge To Federal,"Charter One Bank, F.S.B.",218011
Albank Commercial,5000034,Bank,19971008,NYS Chartered,Albank Commercial,
ALBANK Commercial,5000045,Bank,20020516,Merge To Federal,"Charter One Bank, National Association",5801099
ALBANK Commercial,5000045,Bank,19991008,Name Change To,Charter One Commercial,
ALBANK Commercial,5000045,Bank,19990813,Name Change To,ALBANK Commercial,
ALBANK Commercial,5000045,Bank,19990525,NYS Chartered,New Albank Commercial,
Albany City Savings Bank,208007,Savings Banks,19950201,Convert Federal,"Trustco Bank, N.A.",
Albany City Savings Bank,208007,Savings Banks,19910930,Merge To State,Trustco Bank New York,120009
Albany City Savings Bank,208007,Savings Banks,19811031,Name Change To,Home & City Savings Bank,
Albany City Savings Bank,208007,Savings Banks,19811031,Acquire By Merger,Home Savings Bank of Upstate New York,180
Albany City Savings Bank,208007,Savings Banks,19350629,Name Change To,City and County Savings Bank,
Albany City Savings Bank,208007,Savings Banks,19350629,Acquire By Merger,Albany County Savings Bank,270011
Albany City Savings Bank,208007,Savings Banks,19220101,Name Change To,City Savings Bank of Albany,
Albany City Savings Bank,208007,Savings Banks,18500329,NYS Chartered,"Albany City Savings Institution, The",
Albany County Savings Bank,270011,Savings Banks,19950201,Convert Federal,"Trustco Bank, N.A.",
Albany County Savings Bank,270011,Savings Banks,19910930,Merge To State,Trustco Bank New York,120009
Albany County Savings Bank,270011,Savings Banks,19811031,Name Change To,Home and City Savings Bank,
Albany County Savings Bank,270011,Savings Banks,19350629,Name Change To,City and County Savings Bank,
Albany County Savings Bank,270011,Savings Banks,19350629,Merge To State,City Savings Bank of Albany,208007
Albany County Savings Bank,270011,Savings Banks,18740000,Established,Albany County Savings Bank,
Albany County Savings & Loan Association,8200143,Former Savings and Loan,20040630,Convert Federal,HSBC Bank USA,
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19991231,Name Change To,HSBC Bank USA,
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19991231,Merge To State,Republic Bank of New York,170040
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19990329,Name Change To,HSBC Bank USA,
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19970301,Merge To State,Marine Midland Bank,5800183
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19750731,Merge To Federal,First Federal Savings & Loan Assoc. of Rochester,5800081
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19710701,Merge To State,Central Savings & Loan of Albany,8200019
Albany County Savings & Loan Association,8200143,Former Savings and Loan,19360404,Merge To State,Permanent Savings & Loan Association (Albany),8200094
Albany County Savings & Loan Association,8200143,Former Savings and Loan,18921011,NYS Chartered,Albany County Savings & Loan Association,
Albany Dime Savings Bank,8100031,Former Savings Bank,18550601,Closed,,
Albany Dime Savings Bank,8100031,Former Savings Bank,18540417,NYS Chartered,Albany Dime Savings Bank,
Albany Exchange Savings Bank,8100038,Former Savings Bank,20020107,Purchased By,Washington Mutual Inc.,
Albany Exchange Savings Bank,8100038,Former Savings Bank,20020107,Name Change To,Washington Mutual Bank,
Albany Exchange Savings Bank,8100038,Former Savings Bank,19830623,Convert Federal,"Dime Savings Bank of NY, FSB",5800062
Albany Exchange Savings Bank,8100038,Former Savings Bank,19790930,Merge To State,"Dime Savings Bank of New York, The",8100047
Albany Exchange Savings Bank,8100038,Former Savings Bank,19600408,Name Change To,Mechanics Exchange Savings Bank,
Albany Exchange Savings Bank,8100038,Former Savings Bank,19600408,Merge To State,Mechanics & Farmers Savings Bank of Albany,8100035
Albany Exchange Savings Bank,8100038,Former Savings Bank,18560418,NYS Chartered,Albany Exchange Savings Bank,
Albany Postal Employees Credit Union,8300047,Former Credit Union,19820421,Convert Federal,Albany Postal Employees Federal Credit Union,
Albany Postal Employees Credit Union,8300047,Former Credit Union,19280924,NYS Chartered,Albany Postal Employees Credit Union,
Albany Public School Teachers Credit Union,460103,Credit Unions,19937028,Closed,Alabny Public School Teachers Fed Credit Union,
Albany Public School Teachers Credit Union,460103,Credit Unions,19330519,NYS Chartered,Albany Public School Teachers Credit Union,
Albany Savings Bank,8100002,Former Savings Bank,19820630,Convert Federal,"Albany Savings Bank, FSB",
Albany Savings Bank,8100002,Former Savings Bank,19811231,Acquire By Merger,Newburgh Savings Bank,8100022
Albany Savings Bank,8100002,Former Savings Bank,19790430,Acquire By Merger,Heritage Savings Bank,8100123
Albany Savings Bank,8100002,Former Savings Bank,19780831,Acquire By Merger,"Oneida Savings & Loan Assoc of Oneida, NY",8200200
Albany Savings Bank,8100002,Former Savings Bank,19741031,Acquire By Merger,First Savings & Loan Association of Troy,8200049
Albany Savings Bank,8100002,Former Savings Bank,19701231,Acquire By Merger,Johnstown Savings & Loan Association,8200074
Albany Savings Bank,8100002,Former Savings Bank,19700615,Acquire By Merger,Glens Falls Savings & Loan Association,8200057
Albany Savings Bank,8100002,Former Savings Bank,18200324,NYS Chartered,Albany Savings Bank,
Alden State Bank,101002,Bank,19160930,NYS Chartered,Alden State Bank,
Alef Bank S.A.,2270001,Foreign Representative Offices,19900620,Closed,,
Alef Bank S.A.,2270001,Foreign Representative Offices,19840710,Licensed,Alef Bank S.A.,
Alfred Mutual Loan Association,8200002,Former Savings and Loan,19810301,Convert Federal,Columbia Banking Federal Savings & Loan Assoc,
Alfred Mutual Loan Association,8200002,Former Savings and Loan,19741001,Merge To State,Columbia Banking Savings & Loan Association,8200027
Alfred Mutual Loan Association,8200002,Former Savings and Loan,19731001,Merge To State,Corning Savings & Loan Association,8200032
Alfred Mutual Loan Association,8200002,Former Savings and Loan,19731001,Name Change To,Southern Tier Savings & Loan Association,
Alfred Mutual Loan Association,8200002,Former Savings and Loan,19370000,Name Change To,Alfred Mutual Savings & Loan Association,
Alfred Mutual Loan Association,8200002,Former Savings and Loan,18840419,NYS Chartered,Alfred Mutual Loan Association,
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,19810301,Convert Federal,Columbia Banking Federal Savings & Loan Assoc,
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,19741001,Merge To State,Columbia Banking Savings & Loan Association,8200027
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,19731001,Merge To State,Corning Savings & Loan Association,8200032
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,19731001,Name Change To,Southern Tier Savings & Loan Association,
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,19370000,Name Change To,Alfred Mutual Savings & Loan Association,
Alfred Mutual Savings & Loan Association,8200002,Former Savings and Loan,18840419,NYS Chartered,Alfred Mutual Loan Association,
Algemene Bank Nederland N.V.,501001,Foreign Branches,20140130,Closed,,
Algemene Bank Nederland N.V.,501001,Foreign Branches,20100208,Name Change To,The Royal Bank of Scotland N.V.,
Algemene Bank Nederland N.V.,501001,Foreign Branches,19911119,Name Change To,ABN AMRO Bank N.V.,
Algemene Bank Nederland N.V.,501001,Foreign Branches,19641005,Name Change To,Algemene Bank Nederland N.V.,
Algemene Bank Nederland N.V.,501001,Foreign Branches,19630000,Agency To Branch,,
Algemene Bank Nederland N.V.,501001,Foreign Branches,19410131,Licensed,"Nederlandsche Handel Maatschappij, N.V.",
Allgemeine HypothekenBank AG,2270187,Foreign Representative Offices,20061003,Closed,,
Allgemeine HypothekenBank AG,2270187,Foreign Representative Offices,20020215,Name Change To,Allgemeine Hypothekenbank Rheinboden AG,
Allgemeine HypothekenBank AG,2270187,Foreign Representative Offices,20020215,Licensed,Allgemeine HypothekenBank AG,
Allgemeine Hypothekenbank Rheinboden AG,2270187,Foreign Representative Offices,20061003,Closed,,
Allgemeine Hypothekenbank Rheinboden AG,2270187,Foreign Representative Offices,20020215,Name Change To,Allgemeine Hypothekenbank Rheinboden AG,
Allgemeine Hypothekenbank Rheinboden AG,2270187,Foreign Representative Offices,20020215,Licensed,Allgemeine HypothekenBank AG,
Alliance Bank,8000199,Former Bank/Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
Alliance Bank,8000199,Former Bank/Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
Alliance Bank,8000199,Former Bank/Trust Company,19960714,Merge To State,Chemical Bank,103011
Alliance Bank,8000199,Former Bank/Trust Company,19930101,Merge To Federal,"Chase Manhattan Bank, N.A., The",5800033
Alliance Bank,8000199,Former Bank/Trust Company,19840801,Name Change To,"Chase Lincoln First Bank, National Association",
Alliance Bank,8000199,Former Bank/Trust Company,19840701,Company Sold To,Chase Manhattan National Corporation,
Alliance Bank,8000199,Former Bank/Trust Company,19790101,Merge To Federal,"Lincoln First Bank-Central, N.A.",8500128
Alliance Bank,8000199,Former Bank/Trust Company,19781231,Convert Federal,"Lincoln First Bank, N.A.",8500166
Alliance Bank,8000199,Former Bank/Trust Company,19720101,Name Change To,Lincoln First Bank of Rochester,
Alliance Bank,8000199,Former Bank/Trust Company,19580301,Acquire By Merger,"Citizens Bank of Penn Yan, The",8000251
Alliance Bank,8000199,Former Bank/Trust Company,19510901,Acquire By Merger,"Bank of Hammondsport, The",8000119
Alliance Bank,8000199,Former Bank/Trust Company,19480201,Acquire By Merger,Ontario County Trust Company,8000076
Alliance Bank,8000199,Former Bank/Trust Company,19480101,Acquire By Merger,Corning Trust Company,8000086
Alliance Bank,8000199,Former Bank/Trust Company,19450701,Name Change To,Lincoln Rochester Trust Company,
Alliance Bank,8000199,Former Bank/Trust Company,19450701,Acquire By Merger,Rochester Trust & Safe Deposit Company,8000272
Alliance Bank,8000199,Former Bank/Trust Company,19440601,Acquire By Merger,Geneva Trust Company,8000502
Alliance Bank,8000199,Former Bank/Trust Company,19290801,Bank To Trust Co.,Lincoln-Alliance Bank & Trust Company,
Alliance Bank,8000199,Former Bank/Trust Company,19201201,Name Change To,Lincoln-Alliance Bank,
Alliance Bank,8000199,Former Bank/Trust Company,18930000,Established,Alliance Bank,
"Alliance Credit Union, The",7,Credit Unions,19650128,Name Change To,Progressive Credit Union,
"Alliance Credit Union, The",7,Credit Unions,19610331,Name Change To,Progressive Alliance Credit Union,
"Alliance Credit Union, The",7,Credit Unions,19610331,Merge To State,Progressive Credit Union,461605
"Alliance Credit Union, The",7,Credit Unions,19240102,NYS Chartered,"Alliance Credit Union, The",
Allied Irish Banks Limited,501002,Foreign Branches,19850716,Name Change To,Allied Irish Banks plc,
Allied Irish Banks Limited,501002,Foreign Branches,19771212,Licensed,Allied Irish Banks Limited,
Allied Irish Banks plc,501002,Foreign Branches,19850716,Name Change To,Allied Irish Banks plc,
Allied Irish Banks plc,501002,Foreign Branches,19771212,Licensed,Allied Irish Banks Limited,
Alma Bank,5000097,Bank,20110225,Acquire By Merger,ALMA BANK OF NEW JERSEY,5801278
Alma Bank,5000097,Bank,20070912,NYS Chartered,Alma Bank,
Alpine Capital Bank,5000047,Bank,20000229,NYS Chartered,Alpine Capital Bank,
Amalgamated Bank,101003,Trust Company,20011226,Acquire By Merger,Amalgamated Trust Company,5801094
Amalgamated Bank,101003,Trust Company,20001227,Name Change To,Amalgamated Bank,
Amalgamated Bank,101003,Trust Company,19850816,Name Change To,Amalgamated Bank of New York,
Amalgamated Bank,101003,Trust Company,19730402,Bank To Trust Co.,,
Amalgamated Bank,101003,Trust Company,19230316,NYS Chartered,"Amalgamated Bank of New York, The",
Amalgamated Bank of New York,101003,Trust Company,20011226,Acquire By Merger,Amalgamated Trust Company,5801094
Amalgamated Bank of New York,101003,Trust Company,20001227,Name Change To,Amalgamated Bank,
Amalgamated Bank of New York,101003,Trust Company,19850816,Name Change To,Amalgamated Bank of New York,
Amalgamated Bank of New York,101003,Trust Company,19730402,Bank To Trust Co.,,
Amalgamated Bank of New York,101003,Trust Company,19230316,NYS Chartered,"Amalgamated Bank of New York, The",
"Amalgamated Bank of New York, The",101003,Trust Company,20011226,Acquire By Merger,Amalgamated Trust Company,5801094
"Amalgamated Bank of New York, The",101003,Trust Company,20001227,Name Change To,Amalgamated Bank,
"Amalgamated Bank of New York, The",101003,Trust Company,19850816,Name Change To,Amalgamated Bank of New York,
"Amalgamated Bank of New York, The",101003,Trust Company,19730402,Bank To Trust Co.,,
"Amalgamated Bank of New York, The",101003,Trust Company,19230316,NYS Chartered,"Amalgamated Bank of New York, The",
Amalgamated Clothing Workers Credit Union,8300048,Former Credit Union,19570612,Liquidated,,
Amalgamated Clothing Workers Credit Union,8300048,Former Credit Union,19230000,Name Change To,Amalgamated Clothing Workers Credit Union,
Amalgamated Clothing Workers Credit Union,8300048,Former Credit Union,19200513,NYS Chartered,New York Clothing Cutters Credit Union,
AMBRAC Credit Union,460104,Credit Unions,20060110,Convert Federal,AMBRAC Federal Credit Union,
AMBRAC Credit Union,460104,Credit Unions,19401007,NYS Chartered,AMBRAC Credit Union,
Amerasia Bank,101012,Bank,20130401,Acquire By Merger,Great Eastern Bank of Florida,5801325
Amerasia Bank,101012,Bank,19880216,NYS Chartered,Amerasia Bank,
American Airlines Employees Credit Union,8300049,Former Credit Union,19821123,Convert Federal,American Airlines Employees Federal Credit Union,
American Airlines Employees Credit Union,8300049,Former Credit Union,19391117,NYS Chartered,American Airlines Credit Union,
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19760101,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19520201,Merge To State,"County Trust Company, The",8000239
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19300718,Merge To State,"Mount Vernon Trust Company, The",8000163
American Bank and Trust Company of Mount Vernon,8000466,Former Bank/Trust Company,19300702,NYS Chartered,American Bank and Trust Company of Mount Vernon,
"American Bank, Lackawanna",91,Bank,19451231,Merge To State,Manufacturers and Traders Trust Company,113003
"American Bank, Lackawanna",91,Bank,19190000,Established,"American Bank, Lackawanna",
American Bank of New York,8000420,Former Bank/Trust Company,19300924,Liquidated,,
American Bank of New York,8000420,Former Bank/Trust Company,19280501,Merge To State,"Bank of United States, The",8000418
American Bank of New York,8000420,Former Bank/Trust Company,19261001,Merge To State,Central Mercantile Bank and Trust Company,8000419
American Bank of New York,8000420,Former Bank/Trust Company,19260000,Convert State,American Bank of New York,
American Bank of New York,8000420,Former Bank/Trust Company,19200000,Established,National American Bank of New York,
American Bank & Trust Company,42,Trust Company,19971105,Name Change To,Bank Leumi USA,
American Bank & Trust Company,42,Trust Company,19760915,Merge To State,Bank Leumi Trust Company of New York,170011
American Bank & Trust Company,42,Trust Company,19660401,Name Change To,American Bank & Trust Company,
American Bank & Trust Company,42,Trust Company,19500201,Name Change To,American Trust Company (2/1950-4/1966),
American Bank & Trust Company,42,Trust Company,19361222,Bank To Trust Co.,Pan American Trust Company,
American Bank & Trust Company,42,Trust Company,19290000,Established,"Harbor State Bank, The",
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19960714,Merge To State,Chemical Bank,103011
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19650901,Convert Federal,"Chase Manhattan Bank, N.A., The",5800033
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19550301,Name Change To,"Chase Manhattan Bank, The (1799-9/1965)",
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19550301,Merge To State,President and Directors of the Manhattan Company,8000257
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19300501,Merge To Federal,Chase National Bank of the City of New York,8500003
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19120201,Merge To State,Equitable Trust Company of New York (1871-5/1930),8000296
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19050501,Name Change To,Trust Company of America (5/1905-2/1912),
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,19000401,Merge To State,North American Trust Company,8000299
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,18990801,Name Change To,International Banking and Trust Company,
American Bond and Mortgage Gurarantee Company,8000300,Former Bank/Trust Company,18990101,Established,American Bond and Mortgage Guarantee Company,
American Community Bank,5000042,Bank,19991020,NYS Chartered,American Community Bank,
American Cooperative Savings and Loan Association,301003,Savings & Loans,19950914,Liquidated,,
American Cooperative Savings and Loan Association,301003,Savings & Loans,19390501,Acquire By Merger,Steamship Clerks Savings and Loan Association,12
American Cooperative Savings and Loan Association,301003,Savings & Loans,19380122,Name Change To,American Savings and Loan Association,
American Cooperative Savings and Loan Association,301003,Savings & Loans,19371001,Acquire By Merger,Enterprise Savings and Loan Association,11
American Cooperative Savings and Loan Association,301003,Savings & Loans,19350924,Acquire By Merger,Citizens' Savings & Loan Assoc. of New York City,10
American Cooperative Savings and Loan Association,301003,Savings & Loans,18970721,NYS Chartered,American Cooperative Savings and Loan Association,
American Deposit and Loan Company,8000296,Former Bank/Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19960714,Merge To State,Chemical Bank,103011
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19650901,Convert Federal,"Chase Manhattan Bank, N.A., The",5800033
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19550301,Name Change To,"Chase Manhattan Bank, The (1799-9/1965)",
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19550301,Merge To State,President and Directors of the Manhattan Company,8000257
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19300501,Merge To Federal,Chase National Bank of the City of New York,8500003
American Deposit and Loan Company,8000296,Former Bank/Trust Company,19290901,Acquire By Merger,Seaboard Bank of the City of New York,8000321
